"Task Name","Synsets","Matched Scenes","Predicates","Required Features"
"hang_paper_lanterns-0","floor.n.01,                         paper_lantern.n.01,                         pole.n.01,                         table.n.02,                         wall_nail.n.01,","Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_address_numbers-0","address.n.05,                         floor.n.01,                         table.n.02,                         wall_nail.n.01,","Merom_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_blinds-0","floor.n.01,                         table.n.02,                         wall_nail.n.01,                         window_blind.n.01,","Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_clothes-0","bed.n.01,                         dress.n.01,                         floor.n.01,                         hanger.n.02,                         skirt.n.01,                         sweater.n.01,                         wardrobe.n.01,","house_single_floor,","ontop,                         attached,                         draped,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_clothes_on_clothesline-0","clothesline.n.01,                         floor.n.01,                         hamper.n.02,                         jean.n.01,                         underwear.n.01,                         water.n.06,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         draped,                         inside,                         saturated,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_flags-0","bag.n.06,                         floor.n.01,                         national_flag.n.01,                         pole.n.01,                         wall_nail.n.01,","Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","attached,                         draped,                         inside,                         ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_outdoor_lights-0","coffee_table.n.01,                         floor.n.01,                         icicle_lights.n.01,                         tree.n.01,                         wall_nail.n.01,","Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_pictures-0","floor.n.01,                         picture_frame.n.01,                         wall_nail.n.01,","Wainscott_1_int,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_shades-0","floor.n.01,                         wall_nail.n.01,                         window_blind.n.01,","Ihlen_1_int,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_up_bedsheets-0","clothesline.n.01,                         floor.n.01,                         sheet.n.03,                         tree.n.01,                         wicker_basket.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         draped,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_up_curtains-0","curtain.n.01,                         curtain_rod.n.01,                         floor.n.01,                         wall_nail.n.01,","Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,","ontop,                         attached,                         draped,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hanging_up_wind_chimes-0","floor.n.01,                         pole.n.01,                         wall_nail.n.01,                         wind_chime.n.01,","Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hard_boil_an_egg-0","egg.n.02,                         electric_refrigerator.n.01,                         floor.n.01,                         saucepot.n.01,                         sink.n.01,                         stove.n.01,                         water.n.06,","Merom_1_int,                                                                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","cooked,                         ontop,                         inside,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"heating_food_up-0","countertop.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         hamburger.n.01,                         microwave.n.02,                         plate.n.04,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                                                                                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,","hot,                         ontop,                         inside,                         frozen,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hiding_Easter_eggs-0","easter_egg.n.01,                         floor.n.01,                         lawn.n.01,                         scrub.n.01,                         tree.n.01,                         wicker_basket.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         nextto,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"hoe_weeds-0","ashcan.n.01,                         floor.n.01,                         hoe.n.01,                         lawn.n.01,                         weed.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"ice_cookies-0","countertop.n.01,                         floor.n.01,                         frosting.n.01,                         frosting__jar.n.01,                         platter.n.01,                         sugar_cookie.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_a_fax_machine-0","facsimile.n.02,                         floor.n.01,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    office_cubicles_right,                                                    office_large,","ontop,                         toggled_on,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_a_fence-0","floor.n.01,                         rail_fence.n.01,                         spray_paint.n.01,                         spray_paint__can.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_a_modem-0","floor.n.01,                         modem.n.01,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    office_cubicles_right,                                                    office_large,","toggled_on,                         under,                         ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_a_printer-0","floor.n.01,                         printer.n.03,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    office_cubicles_right,                                                    office_large,","ontop,                         toggled_on,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_a_scanner-0","floor.n.01,                         scanner.n.02,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    office_cubicles_right,                                                    office_large,","ontop,                         toggled_on,                         under,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_a_trailer_hitch-0","floor.n.01,                         hitch.n.04,                         pickup.n.01,","Ihlen_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_alarms-0","alarm.n.02,                         floor.n.01,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,","ontop,                         toggled_on,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_carpet-0","floor.n.01,                         rug.n.01,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                    Ihlen_0_int,                                                                                                                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,","ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"installing_smoke_detectors-0","fire_alarm.n.02,                         floor.n.01,                         wall_nail.n.01,","house_double_floor_lower,","ontop,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"iron_a_tie-0","floor.n.01,                         iron.n.04,                         ironing_board.n.01,                         necktie.n.01,                         wrinkle.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                    Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,                                                                                                                                                                            Wainscott_1_int,                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"iron_curtains-0","curtain.n.01,                         floor.n.01,                         iron.n.04,                         ironing_board.n.01,                         wrinkle.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                    Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,                                                                                                                                                                            Wainscott_1_int,                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"ironing_bedsheets-0","floor.n.01,                         iron.n.04,                         ironing_board.n.01,                         sheet.n.03,                         wrinkle.n.01,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","ontop,                         folded,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"ironing_clothes-0","blouse.n.01,                         cardigan.n.01,                         dress.n.01,                         floor.n.01,                         hamper.n.02,                         iron.n.04,                         ironing_board.n.01,                         jersey.n.03,                         polo_shirt.n.01,                         wrinkle.n.01,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","ontop,                         folded,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"ironing_curtains-0","curtain.n.01,                         floor.n.01,                         iron.n.04,                         ironing_board.n.01,                         wrinkle.n.01,","Benevolence_0_int,                                                                                                                                                                                                    Merom_1_int,                                                                                                                                                                                                                                                                                                                                                                                                    hall_arch_wood,                                                                            hall_glass_ceiling,                                                    hall_train_station,","overlaid,                         ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"lay_sod-0","bunchgrass.n.01,                         carton.n.02,                         floor.n.01,                         lawn.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"laying_clothes_out-0","bed.n.01,                         cedar_chest.n.01,                         dress.n.01,                         floor.n.01,                         jacket.n.01,                         sandal.n.01,                         wardrobe.n.01,","house_single_floor,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"laying_out_a_feast-0","bowl.n.01,                         breakfast_table.n.01,                         cabinet.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         lamb.n.05,                         lettuce.n.03,                         oven.n.01,                         platter.n.01,                         potato.n.01,                         tiramisu.n.01,                         tupperware.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                                                    restaurant_hotel,                                                    restaurant_urban,","cooked,                         hot,                         ontop,                         frozen,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"laying_out_snacks_at_work-0","bowl.n.01,                         cabinet.n.01,                         chip.n.04,                         conference_table.n.01,                         floor.n.01,                         tortilla.n.01,","office_large,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"laying_paving_stones-0","floor.n.01,                         paving_stone.n.01,                         sealant.n.01,                         sealant__atomizer.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"laying_restaurant_table_for_dinner-0","cabinet.n.01,                         chair.n.01,                         dinner_napkin.n.01,                         floor.n.01,                         plate.n.04,                         table.n.02,                         table_knife.n.01,                         tablefork.n.01,                         tablespoon.n.02,                         water_glass.n.02,                         wineglass.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                                                                            restaurant_cafeteria,","ontop,                         folded,                         inside,                         nextto,","transition,            visual substance,            physical substance,            attachment,            cloth,"
